quarter_period,cpi_index,inflation_index,core_inflation_index,        Deflators of gross domestic product by final use categories,avg_wage_uah,monthly_agri_exp_index,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,year_month,inflation_index_seasonally_adjusted
2015-03-31,189.5,105.53333333333335,102.3,99.76666666666667,4113.0,100.13333333333333,99.76666666666667,100.73333333333333,-0.0061170102236954675,-0.02694527267630657,,102.05555555555556
2015-06-30,189.9333333333333,100.16666666666667,101.03333333333335,101.76666666666667,4312.666666666667,99.16666666666667,101.76666666666667,99.76666666666667,-0.014205688962311733,-0.016430398694860068,,102.05555555555556
2015-09-30,192.76666666666665,100.46666666666665,100.63333333333333,102.2,4753.333333333333,102.2,102.2,99.76666666666667,0.004551543491077367,-0.023194330150617736,,102.05555555555556
2015-12-31,,,,,,,,,,,,
2016-03-31,199.53333333333333,101.36666666666667,100.96666666666665,103.86666666666667,4800.0,102.10000000000001,103.86666666666667,104.3,0.012397884811677933,-0.001813589198422667,,100.9909090909091
2016-06-30,204.66666666666666,99.93333333333334,99.89999999999999,100.39999999999999,5231.666666666667,101.73333333333333,100.39999999999999,101.5,-0.015547355756900865,0.007199950010506567,,100.9909090909091
2016-09-30,208.13333333333333,101.43333333333334,100.86666666666667,103.10000000000001,5303.333333333333,100.3,103.10000000000001,103.39999999999999,0.006960670947388434,0.035593135569027566,,100.9909090909091
2016-12-31,218.05,101.35,100.25,101.35,5940.5,101.6,101.35,101.45,-0.0120649964350187,0.018501119492886298,,100.9909090909091
2017-03-31,227.0,101.23333333333333,101.0,99.93333333333334,6540.0,102.63333333333333,99.93333333333334,101.26666666666667,-0.014340355530102968,-0.028930258096924667,,101.07272727272726
2017-06-30,235.33333333333334,101.03333333333335,100.2,101.26666666666667,7179.666666666667,99.66666666666667,101.26666666666667,100.53333333333335,0.0058282040003914334,-0.009324437095766866,,101.07272727272726
2017-09-30,240.79999999999998,101.03333333333335,101.10000000000001,104.13333333333333,7280.666666666667,100.63333333333333,104.13333333333333,101.89999999999999,0.0046514564939468,-0.014357415908230933,,101.07272727272726
2017-12-31,247.75,100.95,100.9,100.65,8128.0,102.25,100.65,103.05000000000001,0.01278317714762595,0.01630327027594415,,101.07272727272726
2018-03-31,257.53333333333336,100.93333333333334,100.86666666666667,99.7,8230.0,101.3,99.7,100.36666666666667,-0.0012947691838844338,-0.0084631033825058,,100.71818181818183
2018-06-30,259.2,99.76666666666667,100.03333333333335,101.56666666666666,9012.0,100.33333333333333,101.56666666666666,101.33333333333333,0.0016563443293623331,0.0080340408594067,,100.71818181818183
2018-09-30,262.76666666666665,101.2,101.10000000000001,103.73333333333333,9079.0,100.96666666666665,103.73333333333333,101.06666666666666,0.0013592260531750996,-0.008156556092040865,,100.71818181818183
2018-12-31,272.20000000000005,101.1,100.85,98.1,9867.0,98.69999999999999,98.1,100.3,-0.003296371326012051,-0.026608008680025753,,100.71818181818183
2019-03-31,280.0,100.8,100.60000000000001,102.76666666666667,9978.333333333334,100.89999999999999,102.76666666666667,99.86666666666667,0.0038985793672429345,-0.0050214304177415,,100.32
2019-06-30,283.2,99.86666666666667,100.03333333333335,99.8,10664.333333333334,99.10000000000001,99.8,100.06666666666666,-0.007923440894008565,-0.012548281742038403,,100.32
2019-09-30,282.7,100.36666666666667,100.60000000000001,101.96666666666665,10650.333333333334,97.96666666666665,101.96666666666665,98.10000000000001,-0.0077431109886456325,-0.029283110814104563,,100.32
2019-12-31,285.0,100.1,100.1,95.4,10679.0,98.7,95.4,96.4,-0.0061855670103092,-0.0321285140562247,,100.32
2020-03-31,285.1666666666667,99.89999999999999,99.8,96.76666666666667,11279.333333333334,100.10666666666667,96.76666666666667,101.46666666666665,0.018948797045143535,0.011407807447411369,,100.31666666666666
2020-06-30,289.43333333333334,100.63333333333333,100.60000000000001,98.56666666666666,10806.0,100.66666666666667,98.56666666666666,99.16666666666667,-0.012592308214765901,-0.001002254223110867,,100.31666666666666
2020-09-30,288.46666666666664,99.8,100.0,101.5,11609.666666666666,100.63333333333333,101.5,101.46666666666665,0.012516332022638634,0.010603586373058966,,100.31666666666666
2020-12-31,295.53333333333336,100.93333333333334,100.86666666666667,103.8,12053.0,104.0,103.8,102.53333333333335,0.00044904759182309964,0.0527234255707811,,100.31666666666666
2021-03-31,312.3333333333333,100.96666666666665,100.56666666666666,98.73333333333333,13740.333333333334,101.10000000000001,98.73333333333333,103.73333333333333,0.015177074884941966,0.03783098124168937,,100.5
2021-06-30,318.7,100.03333333333335,100.10000000000001,99.96666666666665,14218.333333333334,101.3,99.96666666666665,102.89999999999999,-0.00511615233915053,0.014127513069797067,,100.5
